,utterance,annotation_algo
1635,  Very beautiful.,
1636,Thank you very much.,
1637, Mr Lundy.,
1638," Oh, hi.",
1639, Sorry I'm late. Did you get my message?,
1640, Yes. Sit down.,
1641, How about a drink?,
1642, Sure. I'll have what he's having.,
1643,Double Chivas on the rocks.,
1644,Bring him two doubles so he can catch up.,
1645," A Scotch drinker, huh? That's my kinda guy!",
1646," Gentlemen, start your engines.",
1647," OK, everybody. Are we ready to order?",
1648," Yes, I believe we are. Children, fire away.",
1649,Shouldn't we wait for Mrs Doubtfire?,
1650,Yes.,
1651,OK.,
1652, Ah!,
1653, Ah!,
1654, Ahaha!,
1655, Ahaha!,
1656,  How are we doin'?,
1657," No, no.",
1658,"Oh, yes. Come on.",
1659,All right.,
1660,Now.,
1661,What can you do to help the ratings on the kid show?,
1662,Bottom line: don't patronise kids.,
1663,They're little people.,
1664,You gotta personalise it. Make it fun.,
1665,"If it's something you'd enjoy, they'd enjoy it.",
1666, That's what I'm interested in.,
1667, Bingo!,
1668,"Well, I wonder what's happened to Mrs Doubtfire.",
1669, We could cross over to the news.,
1670, Would you excuse me for a moment?,
1671,But.,
1672," May I help you, ma'am?",
1673," Yes, dear. Thank you very much.",
1674,"Oh! Oh, my goodness!",
1675,I'm so sorry! It's my fault.,
1676, Forgive me. Excuse me.,
1677, I'm all right. There we go.,
1678,"Thank you. Oh, let's see here!",
1679," May I take your order, ma'am?",
1680," Oh, yes.",
1681,Wooh!,
1682,Let's see. I'll have the.,
1683,.poached salmon.,
1684," And you, sir?",
1685, I'll have the jambalaya.,
1686, Make mine not spicy. I'm allergic to pepper.,
1687," Certainly, sir.",
1688,Thank you. Cheers. Your health.,
1689,Oop.,
1690,"Oh, my God.",
1691, So sorry about that.,
1692,Just one moment.,
1693,Carpe dentum  seize the teeth.,
1694,Let me assist you.,
1695,"A spoon. Oh, how clever. Wait. I've got it.",
1696,"Wait. There, there. Make a pincer.",
1697,Come at it from both sides.,
1698,"Together - up, up, up.",
1699,Oh. Oh! Thank you. There it is.,
1700,"Just shake them off, like a dog.",
1701,"Sorry. Oh, forgive me.",
1702, That's all right.,
1703, Sorry about my spray.,
1704,I'll be right back. I just have to re-attach them with a little adhesive.,
1705," Tell him to puré'e the salmon, if you will.",
1706, Puré'e the salmon.,
1707,Thank you. Sorry about that.,
1708,"Oh, that one.",
1709,Oh. I didn't know there was someone else in here. Sorry.,
1710,"Damn it! Oh, there it is. Urgh!",
1711,Excuse me.,
1712, Where the hell have you been?,
1713,I ordered you another Scotch.,
1714, Bully!,
1715,   Daniel?,
1716, Hm?,
1717,Are you wearing ladies' perfume?,
1718,"Yes, I am.",
1719,Are you wearing lipstick?,
1720,Yeah.,
1721,Why?,
1722, It rubbed off.,
1723, From whom?,
1724,A girl I used to date. She's a waitress.,
1725, A waitress? Here?,
1726," Oh, yeah.",
1727,On the way to the bathroom.,
1728,Couldn't keep her hands off me.,
1729, You dog!,
1730, You scallywag!,
1731,"Hey, hey.",
1732,I got the stretch outside.,
1733,Does your girlfriend have a girlfriend?,
1734," Hey, it's the '90s.",
1735," No, no! I mean.",
1736,Does she have a lady friend for me?,
1737, Go ahead. Ask her.,
1738, I'll go ask her.,
1739,"Go on. Come on, go get 'em!",
1740,"Hey, Dan! Dan!",
1741,I need my order for table 39!,
1742, Relax. I'll be out in a minute.,
1743, Thank you! Great.,
1744,39.,
1745,Table 39!,
1746,Hot jambalaya!,
1747," Can I help you, ma'am?",
1748, Sorry I'm late.,
1749,But after all those Scotches I had to piss like a racehorse.,
1750, Daniel?,
1751, Yeah.,
1752,Why in God's name are you dressed like a woman?,
1753,"Oh, damn.",
1754,Well.,
1755,I'd like you to meet the host of your new show.,
1756,Host?,
1757,"Euphegenia Doubtfire, dear. I specialise in the education and entertainment of children.",
1758,Surprise!,
1759,"Oh, thank you very much.",
1760, This looks terrific.,
1761, Where's Mrs Doubtfire?,
1762,"Well, I hope the dear lady's all right.",
1763, Shall we start?,
1764, Yes. Let's start. I don't want it to get cold.,
1765,Bon appétit.,
1766,Tell me. Why would Mrs Doubtfire be a good host?,
1767," I'm a hip old granny who could hip-hop, bebop, dance till ya drop,.",
1768,".and yo, yo, make a wicked cup of cocoa.",
1769,Stu? Stu.,
1770,"Oh, he's choking. He's choking!",
1771,Help us! Somebody help!,
1772,He's choking! Help us!,
1773,"Oh, God! Oh, God!",
1774, He's choking here! Call 911!,
1775," Oh, no. I killed the bastard.",
1776, Mrs Doubtfire! Help us! He's choking!,
1777," Help is on the way, dear!",
1778, Mrs Doubtfire!,
1779, Help is on the way!,
1780," Mrs Doubtfire, he's choking!",
1781," Hold on, dear.",
1782,"One more time, dear. Work with me!",
1783,Come on! Come on!,
1784,Come on!,
1785,Aaarghhh!,
1786,I'm all right.,
1787,  Are you all right?,
1788, Yes.,
1789,Almost lost ya.,
1790,"Oh, Dad.",
1791,"Oh, my.",
1792,Daddy?,
1793,"Yeah, honey. It's me.",
1794, Happy birthday.,
1795,  Daniel.,
1796,"Daniel! Oh, my God!",
1797,"Oh, my God! Oh, my God!",
1798,The whole time. The whole time.,
1799, The whole time?,
1800," I'm sorry, Miranda. Please?",
1801,Don't talk to me! Don't touch me!,
1802,Don't touch me!,
1803,I have to go. We have to leave now.,
1804,I have to leave!,
1805,We have to leave now!,
1806,I have to go! We're going.,
1807, You guys go.,
1808," I'm sorry, Dad.",
1809,Bye.,
1810,Sorry about the pepper. I was.,
1811,What are you lookin' at? Show's over.,
1812," Miss Robeson, do you have any closing remarks?",
1813,"Nothing further, Your Honour.",
1814,"Mr Hillard, since you've determined to act as your own attorney,.",
1815,.you are entitled to make a closing statement at this time.,
1816,"Your Honour, in the past two months, I've secured a residence, refurbished it.",
1817,".and made it ""an environment fit for children"". Those are your words.",
1818,I'm also holding down ajob as a shipping clerk. So I believe I met your requirements.,
1819,Ahead of schedule.,
1820,In regards to my behaviour.,
1821,.I can only plead insanity.,
1822,"Because, ever since my children were born,.",
1823,".the moment I looked at them, I was crazy about them.",
1824,"Once I held them, I was hooked.",
1825,"I'm addicted to my children, sir.",
1826,I love them with all my heart.,
1827,"And the idea of someone telling me I can't be with them, I can't see them every day.",
1828,It's like someone saying I can't have air.,
1829,"I can't live without air, and I can't live without them.",
1830,"Listen, I would do anything. I just want to be with them. I know I need that, sir.",
1831,We have a history.,
1832,And I just. They mean everything to me.,
1833,And they need me as much as I need them.,
1834,"So, please,.",
1835,.don't take my kids away from me.,
1836,Thank you.,
1837,Mr Hillard.,
1838,You've been able to fool a lot of people into believing that you're a 60-year-old woman.,
1839,No easy task.,
1840,And your little speech seemed to be.,
1841,very heartfelt and genuine.,
1842,But I believe it to be a terrific performance by a very gifted actor. Nothing more.,
1843, No. It's not that.,
1844," The reality, Mr Hillard,.",
1845,.is that your lifestyle over the past month has been very unorthodox.,
1846,And I refuse to further subject three innocent children.,
1847,.to your peculiar and potentially harmful behaviour.,
1848,It is this court's decision to award full custody to Mrs Hillard.,
1849,"Oh, God, no.",
1850,You will have supervised visitation rights every Saturday.,
1851,"Supervised, sir?",
1852,A court liaison will accompany you when you spend time with the children.,
1853,I am suggesting a period of psychological testing and perhaps treatment for you.,
1854,We will re-examine this case one year from now.,
1855,Thank you. Court is adjourned.,
1856,I don't do laundry.,
1857,I don't do windows. I don't do carpets.,
1858,I don't do bathtubs. I don't do toilets.,
1859,And I don't do diapers.,
1860,My children have been potty-trained for some time.,
1861,"Well, I don't do washing.",
1862,I don't do basements.,
1863,I don't do dinners. I don't do reading.,
1864,Ah.,
1865,"Yes. Well, we have your number.",
1866,Thank you so much for coming.,
1867, We'll be getting back to you.,
1868, Thank you.,
1869,I'll show you to the door.,
1870,"Yes, here we are. Please.",
1871,"Laura, that shipment has been delayed three times.",
1872,"Yes, but.",
1873,"Laura, I'm not gonna wait another six months for it.",
1874,You do that. Call me back.,
1875,"Oh, guys, please don't be so depressed.",
1876,Everything's gonna be all right.,
1877, I miss her spaghetti.,
1878, I miss herjokes.,
1879,I miss her stories.,
1880,Don't worry. We will find someone.,
1881,There are plenty of people out there.,
1882,Nobody like her.,
1883,All right. I admit things were a lot nicer when she was around.,
1884,"The house was so warm and cosy, the beds were always made, and the dinner was.",
1885,She isn't real! We have to stop referring to her as if she were a real person.,
1886," Hello, my dears!",
1887,We have a wonderful show today.,
1888,"We have Mr Van Zandt from the Sierra Club,.",
1889,.and he's going to bring some animals that are endangered species.,
1890," Do you know what that means, poppets?",
1891," Did you say ""puppet""?",
1892,"Oh, no, dear! It's Kovacs! Welcome, Kovacs!",
1893,"Hi, guys. Did you say ""extinction""?",
1894,Does something stink?,
1895,It's not something smelling bad. Extinction means there's no more of a particular animal.,
1896," Oh, my God.",
1897, Doesn't that make you a little mad?,
1898, Very mad!,
1899, Tell people about it.,
1900,"I'm mad! You know why? Because next, it's the chimps! There are fewer chimps.",
1901,Doesn't it make you mad that humans play your parts in movies?,
1902,"Ooh! ""Planet of the Apes"": who gets the role?",
1903,Roddy McDowall! I'd be better than that!,
1904, I'd be better than Charlton Heston!,
1905," And your rug is better, too.",
1906,You could fly to Persia on that rug.,
1907, Shall we tell them where we'll be tomorrow?,
1908, Yeah. They wanna know.,
1909,"Tomorrow, poppets, we're taking a wonderful trip.",
1910,But you don't have to pack because we're going in our mind.,
1911,We're going across the Atlantic Ocean.,
1912,".to England, where I came from.",
1913, You came from England?,
1914, It's a wonderful country.,
1915, Do you know about England?,
1916, It's an island.,
1917,"It's an island, dear. A glorious one.",
1918, They have a queen and a royal family.,
1919, Oh! Just like a poker game!,
1920, It's a full house.,
1921, Some cards don't live at home any more.,
1922,Thanks to mobile phones.,
1923,Do you know what language they speak in England?,
1924, Pakistani?,
1925, That's right. In many stores they do.,
1926,"But we'll get into that tomorrow, boys and girls.",
1927," You owe me a kiss, Kovacs.",
1928, I'm gonna give you two.,
1929," All right, dear.",
1930, Here's one on the cheek.,
1931, .and here's a monkey bite!,
1932," Aaarghhh! Oh, you wicked, wicked monkey!",
1933,"Well, that's all for today. Bye-bye.",
1934,Cut!,
1935,"That's a wrap, folks! Thank you very much.",
1936,We're a smash! Number one in our time slot!,
1937,"Yes! Calls from Detroit, Cleveland, Chicago, Los Angeles.",
1938, All with offers to syndicate.,
1939, Hollywood!,
1940, Daniel?,
1941,   Daniel?,
1942, Yes?,
1943, Miranda.,
1944, Could I talk to you?,
1945,Yeah.,
1946,I'll be right out. Just wait here.,
1947,Welcome to Euphegenia's house.,
1948,A little draughty but. you know. It's nice.,
1949,What can I do for you?,
1950,"First of all, congratulations on the show.",
1951,Thanks. You got to see the dress rehearsal.,
1952,We've. The kids.,
1953,We've been watching every day.,
1954,It's nice to know they can see me every day.,
1955,"Look, Daniel. I know it's gonna take a long time to get over all the fights and.",
1956,.all the horrible things we said to each other.,
1957,It's. It's so hard.,
1958,But I know somehow you and I will be all right and we'll get through this.,
1959,But the kids.,
1960,I don't wanna hurt our children.,
1961,So what do you want me to do?,
1962,You want me to pretend everything's all right? Put on a happy face? Smile?,
1963,"Jesus, Miranda.",
1964,You took my children away from me.,
1965,I can only see them now with supervision.,
1966,Some woman watches me with the kids like I'm some sort of deviant.,
1967,"If I try to hug 'em, she wonders why.",
1968,You know what that's like?,
1969,You just sat there in that courtroom and let that judge pass that despicable sentence.,
1970, I was angry.,
1971," Oh, God.",
1972," You hurt me, too!",
1973, You ripped my heart out!,
1974,"You lied. Uh, you know what?",
1975,I don't wanna do this any more.,
1976,"I don't wanna do any more ""who did what to whom"".",
1977,"Ever since this happened, I've been trying to make sense out of it.",
1978,And the only thing I know in my heart is that the children were happier.,
1979,.when Mrs Doubtfire was a part of their lives.,
1980,Yeah?,
1981,She. She brought out the best in them.,
1982, She brought out the best in you.,
1983, And you.,
1984,Yeah.,
1985,They miss her terribly.,
1986, What are you saying?,
1987," Daniel, the kids need you.",
1988,I need them.,
1989,"Well, tomorrow we'll have Frank, who is a make-up artist.",
1990,   Oh! A big knock at the door.,
1991,Who could that be?,
1992,And do we have enough time?,
1993,"Mr Sprinkles, boys and girls!",
1994,Hello! What do you have for me today?,
1995," Mrs Doubtflier, I've got a letter from Katie.",
1996,  It's the new baby-sitter.,
1997,"Come on, guys! Get up! Let's go!",
1998,Come on.,
1999,It's gonna be all right.,
2000,"Chris, wait right over there. Everybody.",
2001,Daddy!,
2002,Hi.,
2003, What's goin' on?,
2004, I'm here to pick you up.,
2005,Your dad's gonna take you for a few hours every day after school.,
2006,Really?,
2007,What about the courts? That legal stuff.,
2008, Ask your mom.,
2009, I took care of it.,
2010,No more supervised visits.,
2011,No more court liaison.,
2012, Just us?,
2013, Just us.,
2014,Go get Mr Bear.,
2015, Go get your stuff. Hurry up.,
2016, All right.,
2017, Would you like to come in?,
2018, I'll wait outside.,
2019,OK.,
2020,Thank you.,
2021,See ya.,
2022," ""Dear Mrs Doubtfire."" ""Two months ago my mom and dad decided to separate."" ""Now they live in different houses."" ""My brother Andrew says that we aren't a real family any more. Is this true?"" ""Did I lose my family?"" ""Is there anything I could do to get my parents back together?"" ""Sincerely, Katie McCormick."" Oh, my dear Katie.",
2023,"You know, some parents get along much better when they don't live together.",
2024,They don't fight all the time and they can become better people.,
2025,Much better mommies and daddies for you.,
2026,And sometimes they get back together.,
2027,"And sometimes they don't, dear.",
2028,"And if they don't,.",
2029,.don't blame yourself.,
2030,Just because they don't love each other doesn't mean that they don't love you.,
2031,"There are all sorts of different families, Katie.",
2032,"Some families have one mommy, some families have one daddy,.",
2033,.or two families.,
2034,Some children live with their uncle or aunt.,
2035,"Some live with their grandparents, and some children live with foster parents.",
2036,Some live in separate homes and neighbourhoods.,
2037,.in different areas of the country.,
2038,"They may not see each other for days, weeks, months or even years at a time.",
2039,"But if there's love, dear,.",
2040,.those are the ties that bind.,
2041,And you'll have a family in your heart for ever.,
2042,"All my love to you, poppet.",
2043,You're going to be all right.,
2044,Bye-bye.,
