,utterance,annotation_algo
1693,"Last night, Fort Carson reported several C-4 explosives missing from their armory.",
1694, No suspects.,
1695, Klan?,
1696,"Wait, the KKK and the United States Army?",
1697,"You won't see this on the news for obvious reasons, but thought it might be of interest to you.",
1698,"If you know about a possible attack, I need to know when.",
1699,You're the one with the impressive investigation.,
1700,But can't you or the FBI chip in?,
1701,Sir?,
1702,FBI?,
1703,Federal Bureau of Investigation?,
1704,We never had this conversation.,
1705,"You can hate me all you want, all right?",
1706,Just promise me you won't go to that protest.,
1707,I'm going. We're going.,
1708,What are you talking about?,
1709,"I can't get into specifics, but today the Klan is planning an attack.",
1710, Then we have to tell the people.,
1711, It's not an option.,
1712,"Ungawa, Black Power!",
1713,What's wrong with you?,
1714,No one else can know while it's an active investigation.,
1715,Active investigation?,
1716,"And pray tell, how do you know that?",
1717,Are you a pig?,
1718, No.,
1719," What are you, then?",
1720,"Ungawa, Black Power!",
1721,"Ungawa, Black Power!",
1722,"Ungawa, Black Power!",
1723,Want to sit?,
1724,No. I'll stand.,
1725,"Ungawa, Black Power!",
1726,"Ungawa, Black Power!",
1727,I'm an undercover detective.,
1728,I'm investigating the Klan.,
1729,Fucking KKK?,
1730,"Ron Stallworth, you lied to me.",
1731,Is that even your real name?,
1732,Ron Stallworth is my first and last name.,
1733,"Look, today is not the day, Patrice.",
1734,I take my duties as the president of the Black Student Union seriously.,
1735,"Well, how much good did it do?",
1736,"You could sit in the middle of Nevada Avenue, light yourself on fire, the KKK will still be here.",
1737,"Well, at least I would be doing something, unlike you.",
1738, Unlike me?,
1739, Yeah.,
1740,"Don't think, just because I don't wear a black beret or a black leather jacket, black Ray-Bans, screaming, ""Kill Whitey,"" that I don't care about my people.",
1741,"The night we saw Brother Kwame speak, were you undercover then, too?",
1742,That's not fair.,
1743, You have to understand.,
1744, Answer the question.,
1745,Were you undercover the night we met? Yes or no?,
1746,"Ron Stallworth, are you for the revolution and the liberation of black people?",
1747,I'm an undercover detective for the Colorado Springs Police.,
1748,It's my J-O-B.,
1749,That's the truth.,
1750,"House niggers said they had a J-O-B, too.",
1751,You disgust me.,
1752,"My brother, you need to wake up.",
1753,"Ungawa, Black Power!",
1754,"Ungawa, Black Power!",
1755,Are you fucking kidding me?,
1756,You don't cross those lines.,
1757,"This is about an investigation, not a relationship.",
1758,Hate to break that blue wall of silence.,
1759,Nice one.,
1760, Is Patrice really in danger?,
1761, Maybe.,
1762,"Ungawa, Black Power!",
1763,"Ungawa, Black Power!",
1764,It's off.,
1765,Yep.,
1766,You'll know soon enough.,
1767,What?,
1768,Felix just said the march has been canceled.,
1769, Why?,
1770, Could be all the death threats.,
1771,"No, they're used to that.",
1772,And there's been nothing more about the explosives?,
1773,No.,
1774,Fuck it.,
1775,We get them on weapons charges and stop them from doing anything that way.,
1776,"Then what? You know, misdemeanor at best.",
1777, Then they walk.,
1778, I have a special assignment for Ron.,
1779,Ron already has an assignment.,
1780,"Yeah, what could be more important than preventing an attack, sir?",
1781,We have very credible threats against David Duke's life.,
1782,"So, Ron, I am assigning you security detail  for David Duke.",
1783, What?,
1784,"With all due respect, sir, I don't think this is a wise decision, given the situation.",
1785,Who cares what you think?,
1786,Duke needs protection.,
1787,There's no one else available.,
1788,Nut-cracking time.,
1789,Put aside your personal politics.,
1790,"Chief, it's not about that, and you know it.",
1791,David Duke and Ron have been talking on the phone several times.,
1792,If he recognizes his voice.,
1793,"If any of the Klansmen do, it'll compromise our entire investigation.",
1794, It's too dangerous.,
1795," Correct me if I'm wrong, but didn't you boast to me that you were fluent in both English and jive?",
1796, Do you remember that?,
1797, Answer the Chief.,
1798,"Oh, shut the fuck up, Landers.",
1799,"You know, you've been trying to sabotage me since day one.",
1800,"Why are you getting so worked up, boy?",
1801," Hey, Ron!",
1802," Hey, Ron, come on.",
1803," Ron, Ron, no! Ron!",
1804, It's not worth it.,
1805," Okay, okay, all right.",
1806, Just.,
1807," Go, go, go.",
1808, Stay put.,
1809," Ron. Whoa, whoa!",
1810, What the fuck is that?,
1811,"Gotta bring something to get something, Landers.",
1812,Eat a white dick!,
1813,You let him get to you that easy?,
1814,You don't have a shot with David Duke.,
1815,"First, the primary target.",
1816,Felix says you're doing it.,
1817,"So all you have to do is set the pocketbook on the front porch, the back porch, a sidewalk.",
1818,Doesn't matter.,
1819,"As long as it's against the building, you can plant it anywhere.",
1820,I got enough C-4 here to take out the whole thing.,
1821,Be careful.,
1822, You understand?,
1823, I understand.,
1824,All you have to do when you placed it.,
1825,"Hey, sweetie. You listening?",
1826,All you have to do when you placed it is flip the switch.,
1827,Flip the switch.,
1828,That's it.,
1829,You got it?,
1830,Miss Black Student Union Bitch is bringing in some old coon to speak.,
1831,Place should be packed.,
1832,"So, Brother Walker, nothing but rubble.",
1833,And barbecued niggers.,
1834, And what happens if that don't work?,
1835, Plan B.,
1836,"Can you handle it, honey?",
1837,You can count on me.,
1838,I've been waiting to do my part.,
1839,Sweet as candy.,
1840,"Ah, look at the lovebirds.",
1841,Can I feel the C-4?,
1842,No C-4 for you.,
1843,You'll blow us all the fuck up to kingdom come.,
1844, What is this black.,
1845, Out here with  the great David Duke.,
1846, Look at this fucking guy.,
1847,How's he getting away with that?,
1848,Mr. Duke's security detail.,
1849, What?,
1850, Fuck this guy.,
1851,Mr. Duke.,
1852,I'm a detective from the Colorado Springs Police Department.,
1853,I'm here to keep you safe today.,
1854," I'm sorry, have we met before?",
1855, Mmm-mmm.,
1856,You may know that there's several credible threats against your life.,
1857,How's it going out here?,
1858,"There have been threats on my life, and this is the detective they've assigned as my bodyguard.",
1859,"Mr. Duke, I don't agree with your philosophies.",
1860,"However, I'm a professional, so I will do everything within my means and beyond  to make sure you're safe.",
1861," Okay, I appreciate your professionalism.",
1862,"Allow me, sir.",
1863,Thank you.,
1864," Right this way, sir.",
1865, Walt.,
1866, Bro. How are you?,
1867, Sir.,
1868,Sorry for all the extra security today.,
1869,Can't be too careful.,
1870,"Yeah, I know.",
1871,"We have a strong, strong.",
1872,"Hey, fellas.",
1873,"Yeah, like you were saying, last week on the phone.",
1874,"Well, Mr. Duke.",
1875,"I would like you to meet our newest recruit, Ron Stallworth.",
1876,"Ron Stallworth, it is a pleasure to finally meet you in person.",
1877,Same. Same.,
1878,You as well.,
1879,"This is our brother, Jesse.",
1880, I'm Jesse.,
1881," Hey, Jesse.",
1882, Ron.,
1883," Ron, yeah.",
1884, I've heard so much about you.,
1885," Oh, okay.",
1886,I didn't realize how nervous I was gonna be.,
1887,That's all right.,
1888,What's that doing here?,
1889,That's the fucking cop they got to guard Mr. Duke.,
1890,Isn't that the living shit?,
1891,"Gentlemen, it's time.",
1892," Ron, why don't you follow me?",
1893, Okay.,
1894,Let's go. Let's go.,
1895,You stay right here.,
1896,You hear?,
1897,"God, America's going to hell in a handbasket.",
1898,"That started out as a nice spring day back there in Waco, Texas.",
1899,"May 15, 1916.",
1900,Jesse Washington.,
1901,Was a friend of mine.,
1902,He was 17.,
1903,I was 18.,
1904,We kind of looked at Jesse and called him slow.,
1905,"Today, you'd call him mentally retarded.",
1906,They claimed Jesse raped and murdered a white woman by the name of Lucy Fryer.,
1907,"They put Jesse on trial, and he was convicted by an all-white jury after they deliberated for only four minutes.",
1908,"My brothers in Christ, Nobel Prize recipient, co-creator of the transistor and a dear, dear friend of mine, Dr. William Shockley, whose groundbreaking scientific work ushered in the computer age, has proven, through his research with eugenics, that each of us here has flowing through our veins the genes of a superior race.",
1909,It's a fact.,
1910,It's a fact.,
1911,It can't be disputed.,
1912,"Today, we celebrate that truth.",
1913,"Masks off, hoods on.",
1914,I was working across the street at the shoeshine parlor.,
1915,"And after the verdict, a mob grabbed Jesse, put a chain around his neck and dragged him out of the courthouse.",
1916,"Oh, my God.",
1917,I knew I had to hide.,
1918,That way.,
1919,"Be careful, brother.",
1920,"Well, all right.",
1921,"Where I was, the shoe parlor had a window up in the attic.",
1922,And I could see the crowd.,
1923,They marched Jesse through the streets.,
1924,They stabbed him and beat him.,
1925,Oh!,
1926,"And finally, in a bloody heap, they held him down in the street and cut off his testicles.",
1927,"God, give us true white men.",
1928,"The Invisible Empire demands strong minds, great hearts, true faith, clean and ready hands.",
1929,Men who have honor.,
1930,Men who will not lie.,
1931,Men who can stand before a demagogue and damn his treacherous flatteries without blinking.,
1932,"God, give us real men.",
1933,Courageous men who flinch not at duty.,
1934,"Men of dependable character, men of sterling worth.",
1935,"Then wrongs will be redressed, and right shall rule the Earth.",
1936,"God, give us true white men.",
1937,Ron Stallworth.,
1938,Rise.,
1939,Step forward.,
1940,The police and the city officials were out there watching him.,
1941, They cut off his fingers.,
1942, Oh!,
1943,And threw coal oil all over his body.,
1944,They lit a bonfire and raised him and lowered him over these flames over and over and over again.,
1945,"Ron Stallworth, are you a white, non-Jewish American citizen?",
1946,Yes.,
1947,Yes what?,
1948,"Yes, I am a white, non-Jewish American citizen.",
1949,Are you in favor of a white man's government  in this country?,
1950, Yes.,
1951,"Ron Stallworth, are you willing to dedicate your life to the protection, the preservation and the advancement of the white race in mind, in body  and in spirit?",
1952, Yes.,
1953,Be seated.,
1954,The mayor had a photographer by the name of Gildersleeve.,
1955,He came and took pictures of the whole thing.,
1956,Those pictures were later sold as postcards.,
1957,Remove your hood.,
1958,They put Jesse's charred body into a bag.,
1959,Remove your hood.,
1960,Dragged him through town.,
1961,Remove your hood.,
1962,They sold the remains.,
1963,Remove your hood.,
1964,As souvenirs.,
1965,Remove your hood.,
1966,Lot of good white folks just stood there like it was a Fourth of July parade.,
1967,They even let the children out of school on lunch hour.,
1968,Remove your hood.,
1969,And all I could do was to watch and hope they wouldn't find me.,
1970,Come.,
1971,Welcome your brethren who have been baptized by the light.,
1972, Please.,
1973," Oh, my God!",
1974,Let's give them some applause!,
1975,One of the reasons they had done that to Jesse was a movie called Birth of a Nation.,
1976,"It had come out the year before, and it was so powerful that it gave the Ku Klux Klan a rebirth.",
1977,"Oh, God. Oh, my God.",
1978,"Oh, my God. No!",
1979,No!,
1980,"Oh, look at that one!",
1981,"Oh, he's disgusting.",
1982,Oh!,
1983,"Oh, those poor women.",
1984,Don't you do it!,
1985, Why?,
1986, No.,
1987,No.,
1988,The ingenuity of white women!,
1989,"Today, they would call that kind of movie a blockbuster.",
1990,Everybody saw it.,
1991,That's disgusting.,
1992,"Even the president of the United States, Woodrow Wilson, showed it at the White House.",
1993,"And he said that it was ""history written with lightning."" What. What is really.",
1994,"Oh, look at that little pickaninny.",
1995,"Watch, watch. They're gonna scare the pickaninnies.",
1996,Get out of there!,
1997, Move. Move.,
1998, Get out of there!,
1999,The inspiration!,
2000,Get 'em out of there!,
2001, Go get 'em!,
2002, Go!,
2003,Go get 'em!,
2004,Hey!,
2005, Send him to hell!,
2006, String him up!,
2007,String him up!,
2008,Guilty!,
2009,Get him on that horse.,
2010,Get him up!,
2011,String him up!,
2012,Yeah!,
2013,White power!,
2014,White power! White power!,
2015,That's why we're here today.,
2016,In the name of Black Power.,
2017, Yes.,
2018, Black Power. Black Power.,
2019,Black Power! Black Power!,
2020,Black Power! Black Power!,
2021,Black Power!,
2022,I'd like you to do me a favor and just look around.,
2023,That's right.,
2024,Everyone just look around.,
2025,"Today, we are privileged to be among white men.",
2026,And white women.,
2027,Such as yourselves.,
2028,Real warriors.,
2029,For the real America.,
2030,The America that our ancestors fought and died for.,
2031,The true white American race.,
2032,The backbone from whence came our great Southern heritage.,
2033,And I want to thank you.,
2034,Jesus Christ.,
2035,I want to thank you so much for never putting your country second.,
2036, That's right.,
2037, Hmm.,
2038, America first.,
2039, America first.,
2040,America first.,
2041,America first!,
2042,America first!,
2043,Ain't this a bitch.,
2044,"If I would have known this was a Klan meeting, I wouldn't have taken this motherfucking gig.",
2045,Goddamn.,
2046,"Right on, right on.",
2047,"All right, now, when are you boys gonna invite me down to Louisiana?",
2048,We'd certainly love to have you.,
2049,Still a lot of work to be done.,
2050,"I mean, you've done a great job whipping up this chapter, but.",
2051,"Well, I could do a great job on a national level.",
2052,Excuse me.,
2053,"Walter, may I?",
2054,Behave yourself.,
2055,"Mr. Duke, I just want to say how honored my wife, Connie, and I are for being in your presence.",
2056,"What's your name, friend?",
2057,Felix.,
2058,"Felix, the pleasure's all mine.",
2059,We'd love to have you out to the house for dinner sometime.,
2060,We Coloradans can cook just as good as those Cajun ladies you got down there.,
2061,"All right, now, Connie.",
2062,"We're on a very tight schedule here, but you made a mistake.",
2063,"Next time I'm in town, I'm gonna hold you to that, okay?",
2064,"Oh, I see Susie.",
2065,I'll be back in just a second.,
2066,Hey.,
2067,Thank you.,
2068,Thank you very much.,
2069, Is this your wife?,
2070, Yep.,
2071, Hey. Ron. How are you?,
2072, Hi.,
2073,Nice to meet you.,
2074,Never seen you dressed up before.,
2075,"It's a pleasure to meet you, Felix.",
2076, You have a fantastic night.,
2077," Oh, thank you.",
2078,America first.,
2079,"Hey, Ron, how you doing?",
2080," I'm good, I'm good.",
2081, Good.,
2082, He's a cop.,
2083, Who?,
2084, That guy.,
2085, Ron?,
2086," No, the other guy.",
2087, Ron's a cop?,
2088,"His name is Phillip, but his nickname is Flip.",
2089, Who's Phillip?,
2090, Who's Ron? That's Phillip.,
2091, What the fuck are you talking about?,
2092, That guy.,
2093,That's the cop that sent me to the fucking big house for armed fucking robbery.,
2094,His fucking name is Phillip.,
2095,Phillip Zimmerman.,
2096, What's his name?,
2097, Phillip Zimmerman.,
2098,How many times I gotta fucking tell you?,
2099,Isn't that a fucking Jew name?,
2100,You can't go by that.,
2101,Jews change their name all the time to non-Jew names.,
2102,"I mean, they killed Jesus, right?",
2103,Ron Stallworth is a fucking Jew.,
2104,Could've been worse.,
2105,How so?,
2106,Could've been a nigger.,
2107,Yeah.,
2108,They built this stuff out of.,
2109,It starts to dissolve.,
2110,"It wasn't water, you know.",
2111,The beads take the.,
2112,He is a nigger.,
2113,Who?,
2114,That cop guarding Duke.,
2115,Zimmerman's using his name.,
2116,I guess I could use mops.,
2117, Shall we tell the grand wizard?,
2118," No, no, no. Not yet.",
2119,I'll find the moment.,
2120,Okay.,
2121,Fucking Jew.,
2122,"Yeah, I know. We have a strong future in America.",
2123,I'm so glad I made this trip.,
2124, With all these chapters.,
2125," Well, that's what we  have to work on.",
2126," Excuse me, gentlemen.",
2127,Hi.,
2128,"Mr. Duke, favor to ask.",
2129,Nobody's gonna believe me when I tell them that I was your personal bodyguard today.,
2130,Care to take a Polaroid with me?,
2131,I don't know.,
2132,Do those cool shades come off?,
2133,"Oh, yes, sir, they do.",
2134, Okay.,
2135, There we go.,
2136,"Hey, Jesse. Let's do this.",
2137,It'll be right.,
2138,"Yeah, yeah, yeah.",
2139, Who should.,
2140, What.,
2141, What's his name?,
2142," Uh, Ron.",
2143, Stallworth.,
2144," Ron. Ron, sir.",
2145,"Can you take this picture of us, please?",
2146,"All right, don't touch me.",
2147,Great.,
2148, All right.,
2149, All right.,
2150,Thank you so much.,
2151,Thank you.,
2152,Here we go. One.,
2153,Two. Three.,
2154,Jesus H. Christ!,
2155,"What did you just do, boy?",
2156,I mean.,
2157,What the hell did you just do?,
2158,"Sir, if you lay a finger on me, I'll arrest your ass for assaulting a police officer.",
2159,That's worth about five years in prison.,
2160,Try me.,
2161,See if I'm playing.,
2162,Why don't you come down to Louisiana sometime?,
2163,See how we play.,
2164,"Boy, you better get your nigger ass out of here now.",
2165,Mmm-hmm.,
2166,America first.,
2167,Excuse me.,
2168,May I? Thanks.,
2169, You ready?,
2170," What, now?",
2171,Don't be nervous.,
2172,Okay. I'm leaving.,
2173, Remember what we talked about.,
2174, Okay.,
2175,Come here.,
2176,Now you may do your job.,
2177, Okay.,
2178, Nice and easy does it.,
2179,Excuse me.,
2180,Excuse me.,
2181,"Attention, all units.",
2182,"Be on the lookout for a brown truck with a ""white pride"" bumper sticker.",
2183,"License plate, KE4108.",
2184,Kills this big rat in the back of our backyard.,
2185,And I actually start to like the fucking thing for the first time.,
2186,"I shit you not, three days later, this little Girl Scout comes to our door.",
2187,Ron.,
2188,I believe you know my friend.,
2189,Who's your friend?,
2190,Hey.,
2191,"No, sorry, I don't think we've met before. Ron Stallworth.",
2192,"Yeah? It's been a few years, right?",
2193, Been a few years?,
2194, Yeah.,
2195,"No, I'm sorry.",
2196,I don't think I can place you.,
2197, Did you two go to school together?,
2198, No. I went to private school.,
2199,"Leavenworth, Kansas.",
2200,Isn't that where the federal penitentiary is?,
2201,"Matter of fact, it is.",
2202,You know something about that.,
2203," Don't you, Flip?",
2204, Flip?,
2205,"Excuse me, gentlemen.",
2206,There is an emergency phone call in the hallway for a Felix Kendrickson.,
2207,"I'll be right back, Flip.",
2208,Hello?,
2209,Felix.,
2210,"Jesus, they've got cops everywhere.",
2211,Somebody tipped them off.,
2212,"Oh, God, there's another one!",
2213,"Calm down, baby.",
2214,"We planned for this, all right?",
2215,"We'll go to plan B, okay?",
2216,"Okay, okay, okay.",
2217,"Okay, okay, okay, plan B.",
2218,"All right, baby?",
2219,You can do it.,
2220,I'll be right there.,
2221,All right.,
2222,"Remember when you said, one day, I'm gonna need your help?",
2223,"This is it, baby.",
2224,"I love you, honey bun.",
2225,I love you.,
2226,I can make America great again.,
2227," Oh, yeah.",
2228," We need lawyers, we need doctors, and we need.",
2229,"Excuse me, Mr. Duke.",
2230,Let's go.,
2231,Good talker.,
2232,He's a good talker.,
2233,"You'll have to excuse him, Mr. Duke. I apologize.",
2234,What was that all about?,
2235,Why'd he keep calling you Flip?,
2236,We were in prison together.,
2237,Years ago.,
2238,"Uh, it's an inside joke.",
2239,"Well, I certainly hope everything's okay.",
2240,"Yeah, but I think he may have violated his parole.",
2241,I just need to use the restroom real quick.,
2242,"Hey, where's Patrice?",
2243,Patrice and Odetta took Mr. Turner back to his hotel.,
2244,Back up. Back up.,
2245,Freedom.,
2246,"It dares to expose the fact that not only is this a country, not a white racist country.",
2247,It is a racist country.,
2248,"Indeed, it is a racist country.",
2249,It's an anti-white racist country.,
2250,Fuck.,
2251,But it's so important.,
2252,"Next time, we should work on getting a sister in here.",
2253,We need to be hearing their stories.,
2254, Yep.,
2255, We need to start doing this every week.,
2256,I'll reach out and see who I can get.,
2257,Yeah.,
2258,Colorado State Police.,
2259,Don't move.,
2260,"I said stop, damn it!",
2261,No! Help me!,
2262,Help me!,
2263,"Help me! Help me, please!",
2264,Stop. Stop.,
2265, Where'd you put the bomb?,
2266, No!,
2267,You're hurting me!,
2268,Where's the bomb?,
2269,Where'd you put it?,
2270, Get off me. Get off.,
2271, Where is it?,
2272, Get off of me!,
2273, Hold still. Stay still.,
2274, Stay still.,
2275, I don't know what you're talking about!,
2276, Where's the bomb?,
2277, Freeze!,
2278,"Get off her, or I'll fucking shoot you.",
2279, Whoa. Get off her.,
2280, Okay. All right.,
2281, Easy.,
2282, I'm undercover.,
2283, He's got a gun!,
2284, I'm a cop!,
2285, He touched me.,
2286, She's a terrorist.,
2287,That nigger attacked me.,
2288,He tried to rape me.,
2289,Arrest him.,
2290, I'm an undercover cop!,
2291, Show us your badge.,
2292," It's in my pocket, okay?",
2293, What are you waiting for?,
2294, Show us your badge.,
2295, It's in my pocket. Relax.,
2296,That nigger attacked me.,
2297,He tried to rape me.,
2298, Arrest him. Arrest him!,
2299, I'm a cop.,
2300, What are you doing?,
2301, Get on the ground now!,
2302,Yeah! Hit him!,
2303,"When you think about the fact that America is still well over 85% white, that America was founded exclusively by white people who wrote a Declaration of Independence and who fought for our freedoms, were the basis of our civilization and our culture and our Western Christian society, that means that the Christian Church that grew up in the world was overwhelmingly a white, European phenomenon.",
2304,The magnificent beauty of the European people.,
2305,"But today, the word ""white"" is a curse word.",
2306,Ron!,
2307,Anti-white.,
2308,Patrice!,
2309,Patrice!,
2310,Hey! Hey!,
2311, Stand down. Stand down!,
2312, Who the fuck are you?,
2313,"Undercover cop, you fucking idiot.",
2314,The black guy's a cop?,
2315,Give me your keys.,
2316,"Oh, my God, Felix.",
2317,You're late.,
2318, Felix!,
2319," Patrice, are you all right?",
2320,Patrice.,
2321,Felix.,
2322,"Our own group, Ron and P.",
2323, Mmm. I don't know about that.,
2324, Go on tour.,
2325,"You know, they say two Afros that touch together, they're.",
2326, It's good luck.,
2327, Who said that?,
2328,I read it somewhere.,
2329,"Tell me, where'd you get this?",
2330, Saw this brother on Soul Train.,
2331, Mmm-hmm.,
2332, Really?,
2333," And I just thought, I'mma take you there.",
2334, Gonna take you to California.,
2335, You don't know Don Cornelius.,
2336,That's my cousin on my mama's sister's side.,
2337, Really?,
2338," That's my cousin, yes.",
2339, So I got. I got access.,
2340, Yeah?,
2341, What is his cousin's name?,
2342," Whoa, whoa, whoa.",
2343,"Who is the soul sister, Ron?",
2344,You been holding out on me.,
2345,"All right, take it easy.",
2346,Take it easy.,
2347,Oh.,
2348,"You don't remember me, do you?",
2349,Uh.,
2350,Brother Kwame?,
2351,Stokely Carmichael?,
2352,"Oh, yeah, yeah.",
2353,"You looked good that night, but you look even better now.",
2354,How often do you do that to black people?,
2355,Do what?,
2356,Pull us over for nothing.,
2357,Harass us.,
2358,Put your hands all over a woman in the guise of searching her.,
2359,Call us everything but a child of God.,
2360,I don't know what you're talking about.,
2361,"Just like I told you, right, he's just taking advantage.",
2362,"In the end, talking loud, saying nothing.",
2363,Let me tell you both something.,
2364,I've been keeping you people in line in this city for years.,
2365,"What I did to your girl that night, I could do to any of you any time, any place.",
2366,That's my prerogative.,
2367,"I could even bust a cap in your black ass if I feel like it, and nothing will be done about it.",
2368,I wish the two of you'd been blown up instead of good white folks. Get it?,
2369,"Oh, I do get it.",
2370," Do you get it, Patrice?",
2371, Mmm. Yeah.,
2372,I totally and completely get it.,
2373,"Jimmy, did you get it?",
2374,"Oh, yes, I got it.",
2375,"Flip, did you get it?",
2376," Oh, yeah, I got it.",
2377, Chief!,
2378, Do you get it?,
2379," Oh, I really, really get it.",
2380,You're under arrest.,
2381, What?,
2382, Get him out of here.,
2383, Get up. Police brutality.,
2384, Are you out of your minds?,
2385,Let's go.,
2386,"Police misconduct, sexual misconduct.",
2387, Thank you very much.,
2388, Keep walking.,
2389, Tell it to the judge.,
2390, What about my rights?,
2391, Power to the people.,
2392, Power to the people.,
2393,The old hidden mic trick.,
2394,"Yes, it was all my work.",
2395,Hello.,
2396,To tape jobs.,
2397, Works every time.,
2398, Hidden mics.,
2399,"Good job, everybody.",
2400,Stallworth!,
2401,Ronny!,
2402,Five. Four. Three.,
2403,Two. One.,
2404,Swish!,
2405, Look who the cat dragged in.,
2406," Thank you, thank you.",
2407,There he is!,
2408,The man of the minute.,
2409,"Don't you mean ""hour,"" Flip?",
2410,"You slow, you blow.",
2411,"Ah, Jimmy.",
2412,"That Polaroid stunt you pulled, when you put your arms around them, I swear to God I almost shit myself.",
2413,"I told you, Ron was born ready.",
2414, Born ready is Ron.,
2415, There he is!,
2416,There's the crazy son of a bitch Come over here.,
2417,"You. You, you, you, you.",
2418, You did good.,
2419," Nah, we did good.",
2420,"Yeah, well, the Chief wants to see us in his office right now.",
2421," Let's go. Here, after you.",
2422," Let's go. No, after you.",
2423, Come on.,
2424, You're the man of the hour.,
2425,I cannot commend you enough for what you have achieved.,
2426,Do you realize there was not one cross burning the entire time you guys were involved?,
2427,"We're very aware, Chief.",
2428,But all good things have to come to an end.,
2429,What does that mean?,
2430, Budget cuts.,
2431, Budget cuts?,
2432,And when did this happen?,
2433,Last night?,
2434,"I wish I had a choice, but my hands are tied with this inflation.",
2435,"Besides, there no longer appears to be any credible threats.",
2436,Sounds like we did too good a job.,
2437,"Well, that's not a bad legacy to leave.",
2438,"And now, I need you, Ron Stallworth, to destroy all evidence of this investigation.",
2439, What?,
2440, We prefer that the public never knew about this investigation.,
2441,Uh-huh.,
2442,"Cease all further contact with the Ku Klux Klan, effective immediately.",
2443,"That goes for you, too, Flip.",
2444,This is total horseshit.,
2445,Fucking shenanigans.,
2446,"Aye, aye, Chief.",
2447,Subterfuge.,
2448, Skulduggery.,
2449," Hey, Ron.",
2450,Take a week off.,
2451,"Take your girlfriend, Patrice, on a vacation.",
2452,Live it up a little.,
2453,You worked hard.,
2454,"When you come back, we can discuss maybe a new assignment, Ron.",
2455,How about Narcotics?,
2456,"Mr. Duke, I'm so sorry we didn't get to spend more one-on-one time together.",
2457,"Well, that was a.",
2458,Just a tragedy.,
2459,I had just met those heroic brothers in the cause.,
2460,"""Heroic."" Yeah.",
2461,And the chapter is just shaken at the core.,
2462, Oh.,
2463, Yeah.,
2464,"And poor Connie, right?",
2465,"I mean, not only does she lose her husband, but.",
2466,Poor Connie.,
2467,She's looking at serious prison time.,
2468, Connie's going away.,
2469, We feel bad for Connie.,
2470,My God.,
2471,And then there was that nigger detective.,
2472,Basically.,
2473,Shut the fuck up. Shut the fuck up.,
2474,"Shut up, shut up.",
2475,Those goddamn coloreds.,
2476,They sure know how to spoil a celebration.,
2477,"Hey, you're getting me in trouble.",
2478,"Christ, you can say that again.",
2479,Those goddamn coloreds sure know how to spoil a celebration.,
2480,"Can I ask you a question, sir?",
2481,Shoot.,
2482,"That nigger detective, did you ever.",
2483,Did you ever get his name?,
2484,No. I don't think I.,
2485,Are you sure you don't know who he is?,
2486,Are you absolutely sure?,
2487,"'Cause that nigga, coon, gator bait, spade, spook, Sambo, spear-chucking jungle bunny, Mississippi wind chime.",
2488, Wind chime?,
2489, Detective.,
2490,"Is Ron Stallworth, you racist, peckerwood, redneck, inch worm, needle-dick motherfucker!",
2491,Oh!,
2492,I'll be here all week.,
2493,What are you doing?,
2494,Nothing.,
2495,Finishing up.,
2496,Have you handed in your resignation from the KKK?,
2497,Affirmative.,
2498,Have you handed in your resignation from the Colorado Springs Police Department?,
2499,Negative.,
2500,"Truth be told, Patrice, I always wanted to be a cop, and I'm still for the liberation of my people.",
2501,My conscience won't let me sleep with the enemy.,
2502,Enemy?,
2503,"No, I'm the black man that saved your life.",
2504, You're absolutely right.,
2505, Right.,
2506,"And I thank you for it, but.",
2507,I can't do this.,
2508,I think we should.,
2509,We should talk.,
2510,It's okay. It's okay.,
2511,I said it's.,
2512,Blood and soil!,
2513,Blood and soil!,
2514,Blood and soil!,
2515,Jews will not replace us!,
2516,Jews will not replace us!,
2517,Jews will not replace us!,
2518,White lives matter! White lives matter!,
2519,White lives matter!,
2520,Black lives matter! Black lives matter!,
2521,Black lives matter!,
2522,"What the fuck, man?",
2523,"You had a group on one side that was bad, and you had a group on the other side that was also very violent.",
2524,"Nazis, go home!",
2525,"Not all of those people were neo-Nazis, believe me.",
2526,Not all of those people were white supremacists.,
2527,You also had people that were very fine people.,
2528,"Because I believe that today in Charlottesville, this is a first step toward making a realization of something that Trump alluded to earlier in the campaign, which is.",
2529,This is the first step toward taking America back.,
2530, Whose streets?,
2531, Our streets!,
2532, Whose streets?,
2533, Our streets!,
2534,Holy shit!,
2535,Holy shit!,
2536,I had to jump out of the way.,
2537,I almost got hit by the car my fucking self.,
2538,"There are people, bodies laying on the ground right now.",
2539,"Oh, my God!",
2540,We got hit by a car!,
2541,"And there was a woman, uh, laying there, hardly breathing, and we ended up rolling her over, and she died.",
2542,This is my town! We did not want them motherfuckers here!,
